Q14,Q19,Q18,Q12,Q11,Q10,Q13,Q15,Q20,Q9,Age,Daily_Usage,Q17,Q16,Organization_University,Occupation_Salaried Worker,"Organization_School, N/A",Gender_Male,Organization_Company,Occupation_University Student,Relationship_Status_Married,Organization_School,Relationship_Status_In a relationship,"Organization_Company, Private",Gender_Female,Organization_Goverment,Relationship_Status_Single,Occupation_School Student,Organization_Private,"Organization_School, University, Private","Organization_University, Company, Private","Organization_University, N/A","Organization_University, Goverment, Private",TARGET
0.5,0.75,0.5,0.5,0.0,0.5,0.75,1.0,0.5,0.75,0.10256410256410256,0.2,0.5,0.25,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,2
0.75,0.75,0.25,0.5,0.5,1.0,0.5,1.0,0.5,0.25,0.11538461538461539,1.0,0.5,0.5,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,2
0.5,0.25,0.25,0.5,0.5,0.25,0.5,0.5,0.25,0.5,0.41025641025641024,0.4,0.25,0.25,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.11538461538461539,1.0,1.0,1.0,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
0.25,0.25,0.5,0.75,0.25,1.0,0.25,0.0,0.5,0.5,0.10256410256410256,0.2,0.25,0.75,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,False,2
0.75,1.0,0.75,0.5,0.75,0.75,1.0,0.25,1.0,1.0,0.07692307692307693,0.8,0.75,1.0,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,False,0
0.75,0.5,0.5,1.0,0.25,0.75,0.75,0.25,1.0,0.75,0.10256410256410256,0.6000000000000001,0.25,0.5,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,0
1.0,0.75,0.5,1.0,0.0,0.0,0.5,0.0,0.5,0.0,0.11538461538461539,0.6000000000000001,0.0,0.0,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,2
0.75,0.5,0.25,0.75,0.75,0.5,0.75,0.75,0.5,0.5,0.4487179487179488,0.4,0.5,0.5,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,2
1.0,0.75,0.75,1.0,0.75,1.0,0.5,0.75,0.75,0.75,0.11538461538461539,0.4,0.25,0.5,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11538461538461539,0.0,0.0,0.0,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,1
0.25,0.5,0.5,0.5,0.25,0.0,0.5,0.25,0.25,0.5,0.038461538461538464,0.4,0.0,0.75,False,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,2
1.0,0.75,0.5,0.75,0.25,0.75,0.75,0.75,1.0,0.75,0.14102564102564105,0.8,0.5,0.25,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,0
